seed,metric,frac_overlap,metric_tinycodes
0,cycle_knn,0.0,0.850500
0,mutual_knn,0.0,0.933150
0,lcs_knn,0.0,1.870400
0,cka,0.0,0.999089
0,unbiased_cka,0.0,0.998419
0,cknna,0.0,0.928887
0,svcca,0.0,0.867992
0,edit_distance_knn,0.0,0.901280
0,cycle_knn,0.2,0.853100
0,mutual_knn,0.2,0.934990
0,lcs_knn,0.2,1.872400
0,cka,0.2,0.999150
0,unbiased_cka,0.2,0.998527
0,cknna,0.2,0.933010
0,svcca,0.2,0.848734
0,edit_distance_knn,0.2,0.901480
0,cycle_knn,0.4,0.845800
0,mutual_knn,0.4,0.934040
0,lcs_knn,0.4,1.880300
0,cka,0.4,0.999114
0,unbiased_cka,0.4,0.998548
0,cknna,0.4,0.929829
0,svcca,0.4,0.861740
0,edit_distance_knn,0.4,0.902480
0,cycle_knn,0.6,0.851900
0,mutual_knn,0.6,0.933290
0,lcs_knn,0.6,1.880000
0,cka,0.6,0.999138
0,unbiased_cka,0.6,0.998549
0,cknna,0.6,0.928039
0,svcca,0.6,0.811777
0,edit_distance_knn,0.6,0.902350
0,cycle_knn,0.8,0.845700
0,mutual_knn,0.8,0.934100
0,lcs_knn,0.8,1.872400
0,cka,0.8,0.999124
0,unbiased_cka,0.8,0.998413
0,cknna,0.8,0.931587
0,svcca,0.8,0.847152
0,edit_distance_knn,0.8,0.901850
0,cycle_knn,1.0,0.859700
0,mutual_knn,1.0,0.932610
0,lcs_knn,1.0,1.865100
0,cka,1.0,0.999105
0,unbiased_cka,1.0,0.998365
0,cknna,1.0,0.929617
0,svcca,1.0,0.847811
0,edit_distance_knn,1.0,0.900560
1,cycle_knn,0.0,0.849200
1,mutual_knn,0.0,0.935900
1,lcs_knn,0.0,1.877700
1,cka,0.0,0.999122
1,unbiased_cka,0.0,0.998529
1,cknna,0.0,0.929020
1,svcca,0.0,0.868776
1,edit_distance_knn,0.0,0.902120
1,cycle_knn,0.2,0.861300
1,mutual_knn,0.2,0.933580
1,lcs_knn,0.2,1.871900
1,cka,0.2,0.999131
1,unbiased_cka,0.2,0.998509
1,cknna,0.2,0.930593
1,svcca,0.2,0.888020
1,edit_distance_knn,0.2,0.901150
1,cycle_knn,0.4,0.860800
1,mutual_knn,0.4,0.934720
1,lcs_knn,0.4,1.881400
1,cka,0.4,0.998947
1,unbiased_cka,0.4,0.998289
1,cknna,0.4,0.930659
1,svcca,0.4,0.857188
1,edit_distance_knn,0.4,0.902620
1,cycle_knn,0.6,0.844800
1,mutual_knn,0.6,0.934250
1,lcs_knn,0.6,1.881800
1,cka,0.6,0.999049
1,unbiased_cka,0.6,0.998411
1,cknna,0.6,0.928166
1,svcca,0.6,0.868980
1,edit_distance_knn,0.6,0.902740
1,cycle_knn,0.8,0.847600
1,mutual_knn,0.8,0.931790
1,lcs_knn,0.8,1.873000
1,cka,0.8,0.999030
1,unbiased_cka,0.8,0.998364
1,cknna,0.8,0.929129
1,svcca,0.8,0.889122
1,edit_distance_knn,0.8,0.902350
1,cycle_knn,1.0,0.850300
1,mutual_knn,1.0,0.932830
1,lcs_knn,1.0,1.858500
1,cka,1.0,0.999036
1,unbiased_cka,1.0,0.998520
1,cknna,1.0,0.928948
1,svcca,1.0,0.872951
1,edit_distance_knn,1.0,0.899710
2,cycle_knn,0.0,0.857000
2,mutual_knn,0.0,0.933930
2,lcs_knn,0.0,1.882800
2,cka,0.0,0.999081
2,unbiased_cka,0.0,0.998407
2,cknna,0.0,0.931792
2,svcca,0.0,0.872900
2,edit_distance_knn,0.0,0.903050
2,cycle_knn,0.2,0.855100
2,mutual_knn,0.2,0.932900
2,lcs_knn,0.2,1.875500
2,cka,0.2,0.999029
2,unbiased_cka,0.2,0.998412
2,cknna,0.2,0.929125
2,svcca,0.2,0.837176
2,edit_distance_knn,0.2,0.901830
2,cycle_knn,0.4,0.857700
2,mutual_knn,0.4,0.931620
2,lcs_knn,0.4,1.865500
2,cka,0.4,0.999101
2,unbiased_cka,0.4,0.998460
2,cknna,0.4,0.927345
2,svcca,0.4,0.825409
2,edit_distance_knn,0.4,0.899970
2,cycle_knn,0.6,0.859200
2,mutual_knn,0.6,0.933950
2,lcs_knn,0.6,1.874800
2,cka,0.6,0.999023
2,unbiased_cka,0.6,0.998327
2,cknna,0.6,0.931849
2,svcca,0.6,0.880885
2,edit_distance_knn,0.6,0.901800
2,cycle_knn,0.8,0.853000
2,mutual_knn,0.8,0.934540
2,lcs_knn,0.8,1.872900
2,cka,0.8,0.999052
2,unbiased_cka,0.8,0.998488
2,cknna,0.8,0.932228
2,svcca,0.8,0.821421
2,edit_distance_knn,0.8,0.901300
2,cycle_knn,1.0,0.854800
2,mutual_knn,1.0,0.933700
2,lcs_knn,1.0,1.874900
2,cka,1.0,0.999175
2,unbiased_cka,1.0,0.998580
2,cknna,1.0,0.930282
2,svcca,1.0,0.823466
2,edit_distance_knn,1.0,0.901810
3,cycle_knn,0.0,0.854200
3,mutual_knn,0.0,0.935080
3,lcs_knn,0.0,1.887400
3,cka,0.0,0.999145
3,unbiased_cka,0.0,0.998560
3,cknna,0.0,0.932765
3,svcca,0.0,0.845106
3,edit_distance_knn,0.0,0.903820
3,cycle_knn,0.2,0.854100
3,mutual_knn,0.2,0.932630
3,lcs_knn,0.2,1.868600
3,cka,0.2,0.999111
3,unbiased_cka,0.2,0.998461
3,cknna,0.2,0.928578
3,svcca,0.2,0.842246
3,edit_distance_knn,0.2,0.901170
3,cycle_knn,0.4,0.848500
3,mutual_knn,0.4,0.933770
3,lcs_knn,0.4,1.869300
3,cka,0.4,0.999094
3,unbiased_cka,0.4,0.998438
3,cknna,0.4,0.927449
3,svcca,0.4,0.841362
3,edit_distance_knn,0.4,0.901110
3,cycle_knn,0.6,0.850900
3,mutual_knn,0.6,0.932680
3,lcs_knn,0.6,1.874700
3,cka,0.6,0.999069
3,unbiased_cka,0.6,0.998482
3,cknna,0.6,0.927420
3,svcca,0.6,0.829085
3,edit_distance_knn,0.6,0.901900
3,cycle_knn,0.8,0.857800
3,mutual_knn,0.8,0.933400
3,lcs_knn,0.8,1.874900
3,cka,0.8,0.999081
3,unbiased_cka,0.8,0.998436
3,cknna,0.8,0.929278
3,svcca,0.8,0.845103
3,edit_distance_knn,0.8,0.901890
3,cycle_knn,1.0,0.844000
3,mutual_knn,1.0,0.933040
3,lcs_knn,1.0,1.877000
3,cka,1.0,0.999046
3,unbiased_cka,1.0,0.998415
3,cknna,1.0,0.928756
3,svcca,1.0,0.847006
3,edit_distance_knn,1.0,0.902180
