seed,frac_overlap,transfer_asr,normal_asr
0,0.0,0.16,0.3
0,0.0,0.2,0.08
0,0.33333,0.1,0.34
0,0.33333,0.1,0.16
0,0.66666,0.28,0.26
0,0.66666,0.0,0.02
0,1.0,0.3,0.26
0,1.0,0.12,0.4
1,0.0,0.2,0.1
1,0.0,0.16,0.24
1,0.33333,0.08,0.04
1,0.33333,0.06,0.06
1,0.66666,0.12,0.18
1,0.66666,0.04,0.02
1,1.0,0.12,0.24
1,1.0,0.04,0.12
2,0.0,0.28,0.22
2,0.0,0.08,0.12
2,0.33333,0.36,0.36
2,0.33333,0.12,0.02
2,0.66666,0.22,0.28
2,0.66666,0.58,0.48
2,1.0,0.26,0.3
2,1.0,0.34,0.28
3,0.0,0.08,0.04
3,0.0,0.16,0.04
3,0.33333,0.06,0.08
3,0.33333,0.22,0.12
3,0.66666,0.14,0.14
3,0.66666,0.2,0.26
3,1.0,0.06,0.04
3,1.0,0.04,0.08
